box,sortie,zone,delivered_s
S001-FOD-01,T001,S001,1182.898
S001-FOD-02,T001,S001,1182.898
S001-FOD-03,T001,S001,1182.898
S001-HYG-01,T004,S001,1182.898
S001-HYG-02,T004,S001,1182.898
S001-MED-01,T007,S001,969.359
S001-MED-02,T007,S001,969.359
S001-WAT-01,T007,S001,969.359
S001-WAT-02,T004,S001,1182.898
S001-WAT-03,T004,S001,1182.898
S001-WAT-04,T004,S001,1182.898
S001-WAT-05,T004,S001,1182.898
S001-WAT-06,T001,S001,1182.898
S001-WAT-07,T001,S001,1182.898
S001-WAT-08,T001,S001,1182.898
S002-FOD-01,T014,S002,2986.377
S002-FOD-02,T014,S002,2986.377
S002-HYG-01,T014,S002,2986.377
S002-MED-01,T005,S002,1557.874
S002-WAT-01,T005,S002,1557.874
S002-WAT-02,T014,S002,2986.377
S002-WAT-03,T014,S002,2986.377
S002-WAT-04,T014,S002,2986.377
S003-FOD-01,T019,S003,5255.873
S003-FOD-02,T019,S003,5255.873
S003-HYG-01,T019,S003,5255.873
S003-MED-01,T010,S003,1439.112
S003-WAT-01,T010,S003,1439.112
S003-WAT-02,T019,S003,5255.873
S003-WAT-03,T019,S003,5255.873
S003-WAT-04,T019,S003,5255.873
S004-FOD-01,T025,S004,5353.586
S004-HYG-01,T025,S004,5353.586
S004-MED-01,T015,S004,3952.076
S004-WAT-01,T025,S004,5353.586
S004-WAT-02,T025,S004,5353.586
S004-WAT-03,T025,S004,5353.586
S005-FOD-01,T020,S005,5489.23
S005-HYG-01,T018,S005,5609.16
S005-MED-01,T015,S005,3442.096
S005-WAT-01,T015,S005,3442.096
S005-WAT-02,T020,S005,5489.23
S005-WAT-03,T018,S005,5609.16
S006-FOD-01,T002,S006,2133.384
S006-HYG-01,T013,S006,2598.589
S006-MED-01,T002,S006,2133.384
S006-WAT-01,T002,S006,2133.384
S006-WAT-02,T013,S006,2598.589
S006-WAT-03,T013,S006,2598.589
S007-FOD-01,T013,S007,3283.372
S007-HYG-01,T013,S007,3283.372
S007-MED-01,T011,S007,2446.332
S007-WAT-01,T011,S007,2446.332
S007-WAT-02,T013,S007,3283.372
S008-FOD-01,T016,S008,3396.528
S008-HYG-01,T022,S008,5294.57
S008-MED-01,T016,S008,3396.528
S008-WAT-01,T016,S008,3396.528
S008-WAT-02,T022,S008,5294.57
S009-FOD-01,T024,S009,3794.417
S009-MED-01,T005,S009,1127.357
S009-WAT-01,T024,S009,3794.417
S010-FOD-01,T012,S010,1637.532
S010-MED-01,T009,S010,3514.433
S010-WAT-01,T009,S010,3514.433
S011-FOD-01,T008,S011,907.002
S011-MED-01,T008,S011,907.002
S011-WAT-01,T008,S011,907.002
S012-FOD-01,T017,S012,5207.861
S012-MED-01,T006,S012,2947.842
S012-WAT-01,T006,S012,2947.842
S013-FOD-01,T017,S013,4698.233
S013-MED-01,T003,S013,1078.83
S013-WAT-01,T003,S013,1078.83
S014-FOD-01,T009,S014,3952.178
S014-MED-01,T012,S014,1199.826
S014-WAT-01,T012,S014,1199.826
S015-FOD-01,T021,S015,5319.849
S015-MED-01,T010,S015,1896.376
S015-WAT-01,T021,S015,5319.849
